Barcząca;52.156667;21.626111
Białki Siedleckie;52.128628;22.309461
Borki Kosy;52.088056;22.359167
Cegłów;52.148611;21.736667
Cisie;52.209722;21.390833
Dziewule;52.054722;22.385833
Dębe Wielkie;52.199722;21.450278
Grodziszcze Maz.;52.160822;21.871569
Halinów;52.223406;21.350178
Kosiorki;52.106944;22.335556
Koszewnica;52.169114;21.986217
Kotuń;52.176233;22.067156
Krynka Łukowska;52.006667;22.375556
Mienia;52.149167;21.687778
Mińsk Maz.;52.175556;21.554167
Mińsk Maz. Anielina;52.167222;21.586667
Mrozy;52.164628;21.803011
Nowe Dębe Wielkie;52.193889;21.438333
Radomyśl;52.032222;22.380833
Sabinka;52.173128;22.172042
Siedlce;52.161667;22.2725
Siedlce Wschodnie;52.143997;22.297525
Siedlce Zach.;52.173511;22.234825
Sosnowe;52.175867;21.939825
Sulejówek;52.248056;21.275833
Sulejówek Miłosna;52.240833;21.2975
Warszawa Centralna;52.228786;21.003306
Warszawa Ochota;52.225833;20.991111
Warszawa Powiśle;52.233611;21.011389
Warszawa Rembertów;52.256944;21.157778
Warszawa Stadion;52.244444;21.043889
Warszawa Wschodnia;52.251667;21.052222
Warszawa Zachodnia;52.219913;20.965147
Warszawa Śródmieście;52.229336;21.007489
W-wa Wesoła;52.4957376;20.7404304
W-wa Wola Grzybowska;52.5390512;20.7604266
Wrzosów;51.426667;21.301111
Łuków;51.941389;22.389722
